CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
100058,681,France,Male,24,5,3077.25,1,1,0,74998.03,0
100059,743,Spain,Female,39,5,106228.74,2,1,0,147490.44,0
100060,604,Spain,Female,26,8,149277.25,1,0,1,40052.49,0
100061,632,France,Male,43,3,105816.3,1,0,1,68889.34,0
100062,545,France,Female,48,1,63443.5,1,0,0,41771.47,0
100063,536,Germany,Male,35,10,43245.58,1,0,0,165077.65,0
100064,727,Spain,Male,18,10,140237.43,1,1,1,56190.11,0
100065,779,France,Female,41,8,0.0,2,1,1,147719.66,0
100066,643,Germany,Male,43,1,15852.3,3,1,0,189510.2,1
100067,745,Germany,Female,43,9,51351.42,1,1,0,112637.86,1
100068,684,Germany,Male,51,8,152734.53,2,1,1,114905.4,0
100069,589,France,Male,28,1,99545.59,2,0,1,100291.21,0
100070,684,Germany,Male,46,7,15981.16,1,1,0,75289.68,1
100071,796,Spain,Male,51,8,56760.92,2,1,0,102996.18,0
100072,647,France,Male,21,9,37911.97,2,1,1,126519.39,0
100073,799,France,Female,42,8,31993.08,3,0,0,197408.44,0
100074,401,Spain,Female,34,9,136691.15,1,1,0,188486.44,1
100075,728,France,Female,38,8,0.0,2,1,1,174498.3,0
100076,658,Spain,Female,42,1,175744.41,1,1,0,179489.15,1
100077,622,France,Female,34,3,127350.24,1,0,1,101552.1,0
100078,659,France,Female,32,6,143633.42,1,1,0,136627.2,0
100079,461,Spain,Male,39,1,47297.75,4,1,1,180587.34,0
100080,629,France,Male,28,0,66703.68,2,1,0,87695.89,1
100081,684,Germany,Female,28,2,0.0,2,1,0,192926.06,0
100082,790,France,Female,46,3,43470.93,2,0,0,91920.42,0
100083,601,Germany,Male,28,7,106606.6,1,0,1,126200.29,0
100084,573,France,Male,46,5,156355.91,1,1,1,146313.87,0
100085,602,France,Male,44,10,7356.28,1,1,0,190859.52,0
100086,737,Spain,Female,22,1,53338.63,1,0,1,60254.01,0
100087,681,France,Female,32,8,66619.45,2,1,1,153034.23,0
100088,600,Germany,Female,51,1,0.0,2,1,1,111350.88,0
100089,699,France,Male,29,4,112663.65,1,0,0,64683.07,0
100090,659,Spain,Male,34,3,31112.6,1,1,1,158672.27,1
100091,742,France,Female,44,6,63885.8,1,1,0,117161.12,1
100092,583,Spain,Female,47,7,47979.14,1,1,0,137280.16,1
100093,619,France,Male,36,4,27061.01,2,1,1,74736.7,0
100094,613,France,Male,33,9,75563.21,2,1,1,104035.68,0
100095,511,France,Male,53,4,62632.21,2,0,0,129210.54,0
100096,678,France,Male,56,1,52944.81,1,1,0,89908.5,1
100097,675,Germany,Female,49,7,30835.38,1,0,1,51698.92,0
100098,650,France,Male,40,1,95810.53,1,1,1,192903.49,0
100099,628,Spain,Male,31,9,178524.27,2,0,0,109621.49,0
100100,516,France,Male,31,5,84673.01,2,1,1,150775.27,0
100101,610,France,Female,44,7,137759.33,1,1,0,91043.73,0
100102,617,Germany,Female,43,5,0.0,2,1,0,80699.38,0
100103,574,Germany,Male,53,3,85781.21,1,0,1,90325.4,0
100104,635,France,Male,46,3,7963.16,2,1,0,90701.38,0
100105,688,France,Male,24,5,0.0,2,1,0,115673.32,0
100106,829,France,Female,50,3,30158.97,2,1,1,115541.93,0
100107,667,Germany,Female,29,7,149897.76,2,0,1,106973.46,0
100108,674,Germany,Female,35,8,134900.98,1,1,0,39935.37,0
100109,643,France,Male,42,0,91066.29,1,1,1,106773.96,1
100110,468,Spain,Female,59,3,0.0,1,0,1,46284.22,0
100111,647,Spain,Male,70,3,63830.6,1,1,0,38335.12,0
100112,656,Germany,Male,45,1,94705.4,2,1,1,187539.46,0
100113,850,Spain,Male,37,5,86883.25,2,1,0,126915.75,0
100114,632,France,Female,44,2,0.0,1,1,0,137005.66,0
100115,679,France,Male,48,6,20800.29,2,1,1,89331.83,0
100116,647,France,Female,36,10,72027.18,1,1,1,183161.47,0
100117,539,France,Female,57,10,109250.04,1,1,0,133017.14,0
100118,759,Germany,Male,41,4,0.0,1,1,0,157296.43,0
100119,721,Spain,Male,44,3,65948.31,1,1,0,83184.06,0
100120,725,France,Female,46,4,84869.02,1,1,0,192602.2,0
100121,564,France,Male,43,7,128675.94,1,0,0,166785.34,1
100122,783,France,Female,47,2,118957.17,1,1,0,172980.47,0
100123,517,Spain,Male,33,6,112119.42,3,1,1,46855.94,0
100124,706,France,Female,33,5,26403.69,1,0,0,65128.19,0
100125,850,Germany,Female,28,0,0.0,1,0,0,67840.92,0
100126,556,France,Female,43,6,51630.73,1,1,1,65118.21,0
100127,596,France,Female,47,6,138101.17,2,1,1,173250.51,0
100128,659,Spain,Male,44,0,162394.18,1,1,0,20898.69,0
100129,602,Spain,Male,56,8,120054.04,2,1,0,29078.5,0
100130,503,France,Female,39,5,102619.13,2,0,1,65674.25,0
100131,657,Spain,Female,46,1,99537.66,2,1,0,51976.5,1
100132,549,Germany,Male,28,4,41520.64,2,1,0,57894.03,0
100133,695,Spain,Male,35,10,67936.26,1,1,1,162619.49,0
100134,563,France,Male,46,3,179482.31,1,0,0,119178.42,0
100135,797,Germany,Male,47,6,17561.4,1,1,0,16067.57,0
100136,576,France,Male,36,7,176116.29,2,0,0,94424.71,0
100137,619,Germany,Male,38,10,56034.25,1,1,0,90458.71,0
100138,727,France,Female,24,10,158176.79,1,1,0,36079.87,0
100139,533,France,Male,35,0,0.0,3,1,1,140086.23,0
100140,672,France,Male,48,4,112326.06,1,0,0,144887.98,0
100141,774,Germany,Female,45,2,30320.25,2,1,0,148365.25,0
100142,497,France,Male,44,0,0.0,2,1,0,149767.12,0
100143,668,Germany,Male,39,2,89549.11,1,1,1,15009.77,0
100144,675,Spain,Male,39,5,138587.25,1,1,1,191475.35,0
100145,724,France,Male,32,6,23613.63,1,1,0,165628.62,0
100146,532,Germany,Male,46,7,0.0,2,1,1,182236.61,0
100147,525,France,Female,43,10,70305.62,2,1,0,17894.01,0
100148,700,Spain,Male,44,3,70579.01,2,1,0,187763.88,1
100149,678,France,Female,34,2,109995.82,2,0,0,164810.88,0
100150,674,Germany,Female,18,4,134874.86,2,1,0,169885.54,0
100151,683,Spain,Male,50,8,72316.26,1,1,0,32258.17,0
100152,585,Spain,Female,34,5,191041.21,1,0,1,151673.94,0
100153,672,Germany,Male,30,8,89902.55,2,1,0,192584.59,0
100154,678,France,Female,46,5,54521.56,1,1,1,140531.26,0
100155,582,Germany,Female,35,1,0.0,1,1,0,120553.86,1
100156,827,Spain,Male,50,4,59715.11,2,1,0,189941.49,0
100157,695,Germany,Male,45,10,55144.01,1,0,0,96943.37,1
100158,537,France,Male,46,8,135538.9,2,1,1,125869.31,0
100159,712,Spain,Male,25,7,104673.98,2,0,0,103122.58,0
100160,557,Germany,Male,51,6,2879.11,1,1,1,187576.55,1
100161,725,Germany,Female,42,0,86679.77,2,0,0,29075.67,1
100162,760,France,Female,35,3,117634.93,1,0,0,107707.14,0
100163,572,Germany,Female,40,6,170737.94,1,1,0,142086.2,1
100164,742,France,Female,21,10,131025.25,1,1,0,161502.71,1
100165,689,Germany,Female,43,6,123172.49,1,1,0,122858.45,0
100166,728,France,Female,29,5,79725.33,1,1,0,183149.78,0
100167,830,Germany,Female,25,7,100075.34,1,0,1,189268.42,0
100168,627,Spain,Male,24,10,153469.3,1,0,0,26899.06,0
100169,578,France,Male,50,5,0.0,1,1,1,89438.55,0
100170,565,Spain,Female,33,9,54334.76,2,0,0,19339.92,0
100171,572,France,Female,54,2,28100.74,2,1,1,75942.08,0
100172,643,Spain,Male,34,3,99507.49,1,1,1,114320.62,0
100173,682,Spain,Male,22,2,152273.77,1,1,0,183497.06,0
100174,676,Germany,Male,28,0,38987.59,1,1,0,171612.55,0
100175,729,Germany,Male,51,9,0.0,1,1,1,38587.45,1
100176,651,Spain,Female,37,4,50442.31,2,1,1,32210.62,0
100177,788,France,Male,34,0,132635.37,2,0,0,124014.46,0
100178,625,France,Female,41,0,109333.05,1,0,0,113441.82,0
100179,850,Germany,Female,44,1,102547.55,1,1,1,64279.86,0
100180,709,Spain,Female,50,3,58640.42,1,1,0,181398.82,1
100181,569,Spain,Male,53,5,0.0,2,1,1,186562.79,0
100182,548,Spain,Male,35,7,107948.25,1,1,0,89483.12,0
100183,696,France,Female,26,2,24274.53,3,0,0,179705.97,0
100184,629,Spain,Female,35,0,211414.0,2,1,1,86030.55,0
100185,718,France,Female,42,2,111371.45,1,1,1,151311.11,0
100186,695,Germany,Male,29,2,39999.81,2,0,0,103049.31,0
100187,643,France,Female,29,4,38094.11,2,1,0,37677.88,0
100188,570,France,Male,42,10,70237.46,2,0,1,186667.83,0
100189,506,France,Female,39,3,61150.88,1,1,1,99007.87,0
100190,608,France,Female,39,3,145243.69,1,1,0,150880.1,0
100191,731,Germany,Female,31,8,87557.8,2,1,1,82927.16,0
100192,670,France,Male,37,6,30638.83,2,1,1,18492.96,0
100193,532,France,Male,30,3,193207.32,2,1,1,33598.12,0
100194,666,France,Female,48,2,79057.12,2,1,1,106800.6,0
100195,687,France,Male,49,5,123668.06,2,1,0,142643.41,0
100196,566,France,Female,21,2,38289.96,2,1,1,76926.04,0
100197,665,France,Male,30,5,98513.17,1,1,1,143665.36,0
100198,656,Germany,Male,24,10,95288.82,2,0,0,144247.58,0
100199,541,Germany,Male,32,10,0.0,2,1,0,145228.14,0
100200,684,Germany,Female,38,8,200947.06,2,0,0,106116.54,1
100201,703,France,Male,25,5,156019.96,2,0,1,184253.94,0
100202,753,France,Male,30,3,51373.89,1,1,0,105501.36,0
100203,750,Spain,Female,29,4,7659.28,2,1,1,98299.06,0
100204,519,Germany,Female,41,5,97548.82,2,0,1,51885.45,0
100205,561,France,Female,40,10,81375.26,1,1,1,71916.19,1
100206,699,France,Female,32,2,98051.47,1,1,1,22831.88,0
100207,699,France,Male,41,7,87877.8,1,1,1,132204.03,0
100208,699,France,Male,34,3,107386.94,1,0,0,60979.11,1
100209,850,France,Male,36,7,165732.95,1,1,1,71268.72,0
100210,704,Germany,Male,56,9,111222.4,1,1,0,157600.69,0
100211,758,Germany,Male,52,9,10921.36,2,1,1,75535.92,1
100212,741,Germany,Female,26,2,160478.9,2,0,0,59806.24,0
100213,712,Spain,Male,47,9,177718.1,2,0,1,46275.68,0
100214,620,Spain,Male,47,6,271427.52,2,1,1,158348.8,0
100215,722,Germany,Male,28,10,6343.37,1,1,1,38995.66,1
100216,577,Spain,Female,47,8,91058.68,1,0,0,98944.45,0
100217,628,France,Female,54,3,0.0,2,0,0,108782.07,0
100218,604,France,Male,28,7,110295.25,1,1,1,142167.13,0
100219,658,France,Female,30,2,42011.58,3,0,0,132157.44,0
100220,850,Germany,Female,49,6,195253.64,2,1,1,164983.32,0
100221,473,Spain,Female,42,2,27973.87,2,0,0,23279.02,1
100222,715,France,Female,45,6,0.0,3,0,1,69841.53,0
100223,497,Spain,Female,42,10,46781.65,1,1,0,66824.81,0
100224,605,France,Female,43,9,0.0,1,1,1,42013.13,0
100225,753,Spain,Female,26,9,122568.17,2,1,1,68497.98,0
100226,656,France,Male,49,10,0.0,1,1,0,72306.58,0
100227,548,France,Male,51,10,77764.37,2,1,0,111548.63,0
100228,582,France,Female,37,5,0.0,1,1,0,137785.33,0
100229,715,France,Male,39,1,56141.54,2,0,1,85503.6,0
100230,581,France,Male,24,10,177889.45,2,1,1,148101.99,0
100231,671,France,Female,44,2,98360.17,2,1,1,77190.59,0
100232,654,Spain,Male,45,5,22463.4,1,1,1,68702.48,0
100233,588,Germany,Female,38,3,74065.38,1,0,0,115119.79,0
100234,850,France,Female,50,5,77117.05,2,1,0,19387.53,0
100235,710,Germany,Female,36,0,105303.08,1,1,0,29760.99,0
100236,458,Germany,Male,45,9,0.0,2,1,0,92324.37,0
100237,668,France,Male,29,0,112739.17,2,0,1,189438.85,0
100238,587,France,Male,39,2,0.0,2,0,1,148479.68,0
100239,731,France,Male,37,7,36947.16,2,1,0,31303.42,0
100240,575,France,Female,41,7,45727.02,1,0,1,171568.83,0
100241,639,Germany,Female,35,10,115266.26,2,1,1,150475.64,0
100242,698,France,Male,38,3,77403.11,2,1,0,128025.11,0
100243,732,Germany,Female,47,5,0.0,1,0,0,166754.2,1
100244,536,Germany,Female,35,7,14930.43,3,1,0,89760.32,0
100245,618,France,Male,23,6,88318.16,1,1,1,55977.69,0
100246,605,Germany,Female,56,10,71097.82,1,1,1,109724.33,0
100247,588,France,Male,53,6,40094.31,1,0,1,116535.72,1
100248,818,Spain,Female,26,3,46188.31,3,0,0,114590.38,0
100249,688,France,Male,46,8,119162.42,1,1,0,119538.65,0
100250,530,Spain,Female,34,9,43903.06,2,0,1,190510.41,0
100251,737,Germany,Female,42,5,70538.34,2,1,1,181915.44,0
100252,850,France,Male,42,10,210536.07,1,0,1,177007.65,0
100253,748,Germany,Male,37,2,0.0,1,1,1,163262.11,0
100254,506,Spain,Male,31,4,0.0,2,1,0,189534.2,1
100255,604,Germany,Male,32,4,124582.56,1,1,1,33221.51,0
100256,770,Spain,Female,30,4,33924.13,2,0,1,64047.8,0
100257,583,Spain,Female,31,7,56269.27,1,1,0,106585.35,0
100258,692,France,Male,38,8,27568.3,1,0,1,171608.88,0
100259,724,France,Female,32,8,59892.39,2,1,0,108455.66,0
100260,562,Germany,Male,46,5,175109.36,1,0,0,153386.43,1
100261,644,France,Male,54,5,125731.96,1,1,0,40707.58,0
100262,350,Spain,Female,33,8,129457.86,1,1,0,61696.56,0
100263,553,Spain,Female,41,3,0.0,1,0,0,150378.58,0
100264,626,France,Male,44,5,4628.47,2,1,0,45475.79,0
100265,531,France,Male,44,3,0.0,2,0,1,80000.85,0
100266,805,Spain,Male,40,10,25818.39,1,1,0,64000.26,0
100267,514,France,Female,46,0,135315.6,2,1,0,79724.41,0
100268,608,Spain,Female,44,6,108050.68,2,1,0,146039.95,0
100269,662,France,Female,27,9,62266.18,1,1,1,83051.73,0
100270,787,Germany,Female,48,10,74617.38,1,0,0,117723.71,0
100271,514,France,Male,48,5,33289.1,2,1,0,33487.4,0
100272,761,Germany,Male,31,8,88695.05,2,0,1,163928.27,0
100273,651,France,Male,39,6,123484.45,2,1,1,83429.4,0
100274,557,Germany,Male,46,6,0.0,2,1,1,134978.82,0
100275,694,France,Male,37,1,94578.16,1,1,0,149197.08,0
100276,669,Germany,Male,50,10,133810.96,2,0,0,53787.27,0
100277,593,Spain,Female,63,8,50263.78,2,1,1,178664.87,0
100278,657,France,Female,31,9,119443.44,2,1,0,129001.49,0
100279,613,France,Male,25,8,250508.58,1,1,0,94314.15,1
100280,661,France,Male,42,5,69530.75,1,0,0,48732.01,0
100281,713,Germany,Female,46,2,100385.04,1,0,1,189325.67,0
100282,801,Germany,Female,37,0,30240.46,3,0,0,154687.62,0
100283,532,Germany,Female,54,3,87237.57,1,1,1,53484.54,1
100284,850,France,Female,26,2,104536.84,1,0,1,77476.49,0
100285,465,France,Male,46,0,88080.23,1,1,0,164789.74,0
100286,636,Germany,Male,33,2,12778.89,1,0,1,143700.37,0
100287,706,France,Male,56,3,88794.43,2,1,1,156670.09,0
100288,677,Spain,Male,59,7,166656.15,2,1,1,96622.2,1
100289,591,France,Male,31,8,103815.42,2,1,0,147548.11,0
100290,630,Germany,Female,34,2,135643.21,1,1,1,86501.34,0
100291,603,France,Male,48,5,61305.26,2,0,0,54083.64,0
100292,594,France,Female,35,9,122493.81,1,0,1,132045.25,0
100293,731,Germany,Male,39,10,93314.61,1,0,0,195562.58,0
100294,684,Germany,Male,39,4,17043.53,1,1,0,72461.18,0
100295,584,Spain,Male,20,5,95748.3,1,1,1,100279.37,0
100296,735,France,Male,39,3,14514.81,1,1,1,139690.25,0
100297,679,France,Male,32,9,36761.42,2,1,1,115178.66,0
100298,727,Germany,Female,34,5,87738.36,2,1,0,171034.14,1
100299,710,Germany,Female,53,6,94429.14,2,1,0,155922.4,0
100300,571,France,Female,26,8,2267.59,1,1,1,25784.98,0
100301,597,France,Male,47,9,141347.12,1,0,1,199707.93,0
100302,721,France,Male,36,6,111464.39,1,1,1,154194.45,0
100303,708,Spain,Female,36,5,32306.84,3,1,0,174822.11,0
100304,648,France,Male,47,0,0.0,2,1,0,135471.58,0
100305,661,France,Male,42,1,67015.92,2,1,1,173412.75,0
100306,771,France,Female,45,0,48351.49,1,1,1,35790.85,0
100307,594,France,Male,49,8,83014.71,2,0,0,79331.5,0
100308,702,France,Female,36,9,53486.77,1,1,1,177137.87,0
100309,631,Germany,Male,33,9,0.0,2,1,1,52306.21,0
100310,629,France,Female,28,8,51922.49,2,0,0,29474.79,0
100311,754,Spain,Male,31,6,57051.62,3,1,0,160802.0,1
100312,728,France,Male,68,1,115286.98,2,1,0,169564.94,0
100313,727,Germany,Female,51,5,32711.62,1,1,1,45090.66,0
100314,774,Spain,Male,25,10,180077.83,2,0,0,173054.01,0
100315,652,Germany,Male,26,3,0.0,2,1,0,142052.04,0
100316,715,Germany,Female,44,0,157292.38,1,1,1,111215.3,0
100317,621,France,Male,44,0,62092.22,1,1,0,168596.29,0
100318,681,France,Female,44,4,129294.26,1,1,0,92561.11,0
100319,638,Germany,Male,36,1,80947.69,1,1,0,50888.88,0
100320,659,Spain,Male,38,3,146652.44,1,1,1,67697.75,1
100321,707,Germany,Male,42,0,51983.56,2,1,1,108455.34,0
100322,572,Germany,Male,40,3,7885.53,1,1,0,113296.2,0
100323,849,Germany,Female,18,10,164071.27,1,1,1,164032.45,0
100324,554,France,Male,37,5,68964.2,2,0,1,161400.25,0
100325,535,France,Female,30,9,89736.63,2,1,0,122552.81,0
100326,760,Germany,Male,41,3,152554.62,2,1,0,159445.31,0
100327,725,Spain,Male,69,0,12018.77,1,1,0,50478.09,0
100328,709,France,Male,43,6,112920.44,2,0,0,24261.94,0
100329,710,Germany,Male,36,1,39426.53,2,1,1,176622.26,0
100330,649,France,Female,48,8,67805.5,1,0,1,28977.58,0
100331,565,Germany,Female,44,2,80481.3,1,0,0,60637.36,0
100332,657,France,Female,43,7,0.0,2,1,0,143634.01,0
100333,586,France,Female,45,7,27712.1,2,1,0,90747.87,0
100334,743,Spain,Male,60,2,159766.52,3,1,1,177118.08,0
100335,636,France,Female,28,3,130943.85,2,0,0,70126.26,0
100336,572,Germany,Female,44,1,72116.35,2,1,1,17196.2,0
100337,619,Spain,Male,30,3,91073.65,2,0,0,70621.29,0
100338,689,Spain,Male,45,10,57756.96,1,1,1,121943.88,0
100339,596,France,Male,30,10,160108.17,1,1,1,84548.6,0
100340,572,France,Male,35,10,63578.14,1,1,0,113951.46,0
100341,673,France,Female,36,8,90374.21,2,1,0,177170.65,0
100342,673,Spain,Female,49,1,147053.87,2,0,1,183809.74,0
100343,602,Spain,Male,48,2,27802.97,2,1,0,64205.2,0
100344,605,Germany,Male,27,10,172644.93,1,0,1,100495.99,0
100345,672,Spain,Male,40,10,0.0,2,1,0,116591.64,0
100346,512,Germany,Female,32,3,177037.81,1,1,1,190585.8,0
100347,516,Germany,Female,26,4,52894.11,1,0,0,199744.2,0
100348,582,France,Male,37,0,60952.68,2,1,1,58550.34,0
100349,630,Spain,Male,36,6,0.0,2,1,1,149491.28,0
100350,680,France,Female,63,9,47802.73,4,0,1,84935.75,1
100351,790,Spain,Male,43,6,11532.0,1,0,1,16500.02,0
100352,731,Spain,Male,25,8,38325.93,1,0,1,16711.72,0
100353,635,Germany,Female,33,3,67486.72,1,1,0,100204.71,0
100354,648,France,Male,49,5,135383.08,1,1,1,105341.96,0
100355,555,France,Female,60,10,88871.41,2,0,1,19175.39,0
100356,648,France,Male,23,1,95075.95,2,0,0,142081.57,0
100357,623,France,Male,20,3,8077.8,2,1,1,69390.63,0
100358,681,France,Female,58,1,21393.25,1,1,1,118580.22,0
100359,571,Spain,Female,43,9,187520.95,2,1,1,70670.03,0
100360,699,Germany,Male,30,4,30417.54,1,1,0,45919.85,0
100361,796,France,Female,44,6,178684.91,2,0,0,90327.14,1
100362,640,France,Male,18,0,60930.21,1,1,0,57970.57,0
100363,688,France,Male,39,9,76141.85,1,1,0,113938.18,0
100364,716,Germany,Female,42,9,142362.64,2,0,1,51783.28,0
100365,612,Germany,Male,48,6,154857.33,2,1,0,109055.11,1
100366,671,Spain,Male,29,9,69129.62,1,1,0,44115.03,0
100367,651,France,Female,40,5,51928.93,1,1,1,139130.32,0
100368,659,Spain,Female,30,5,72532.93,2,0,0,154478.47,0
100369,577,Spain,Male,42,7,96953.37,1,1,0,35422.93,0
100370,652,France,Female,30,7,131260.83,1,1,0,101543.45,0
100371,697,Spain,Female,35,5,76262.25,1,1,0,28111.26,0
100372,788,France,Female,29,2,114370.95,1,1,1,125663.75,0
100373,741,Spain,Female,46,4,177578.3,2,0,1,63914.8,1
100374,850,France,Male,48,1,99641.2,2,0,1,112610.52,0
100375,577,Spain,Male,37,4,95322.48,2,1,0,110730.29,0
100376,733,Spain,Male,39,8,0.0,3,0,1,186005.55,0
100377,667,Spain,Female,25,9,0.0,1,1,0,116580.4,0
100378,850,Spain,Female,36,0,100079.3,1,1,0,122854.72,0
100379,573,France,Female,38,9,70120.9,1,1,0,89305.83,0
100380,570,France,Female,65,4,44083.47,1,1,0,190579.73,0
100381,593,France,Female,28,5,91098.87,1,1,0,158779.39,0
100382,448,France,Female,54,10,72254.97,2,0,0,67799.98,0
100383,600,Germany,Female,49,6,145922.38,2,1,1,171178.77,0
100384,578,France,Male,42,8,81338.87,1,1,0,94993.33,1
100385,664,Spain,Male,57,5,29690.76,2,1,0,168303.42,0
100386,682,Germany,Female,43,4,137390.31,2,0,0,167234.29,1
100387,828,Spain,Female,43,6,62537.87,2,1,1,49940.98,0
100388,740,France,Female,38,0,108645.27,2,0,0,144711.11,0
100389,595,Spain,Male,51,10,46400.54,2,0,1,68768.95,0
100390,565,Spain,Male,50,4,35710.73,2,0,1,70036.14,0
100391,697,France,Female,33,1,81218.43,2,1,0,69824.39,0
100392,525,Germany,Female,26,3,76795.38,2,0,0,149230.13,0
100393,824,Spain,Male,37,6,105749.28,1,0,0,57517.82,0
100394,762,France,Male,31,4,59343.96,1,0,1,15167.58,0
100395,605,Germany,Male,38,5,0.0,2,0,0,147318.82,0
100396,487,France,Male,51,1,49168.02,1,1,0,46669.18,0
100397,779,France,Female,34,2,125216.74,1,0,0,34329.24,0
100398,639,France,Male,39,6,57562.68,2,0,1,58940.48,0
100399,768,France,Male,40,10,60724.23,1,1,0,85281.6,0
100400,499,France,Female,47,1,137155.34,2,1,0,103042.67,0
100401,593,France,Male,18,5,31857.66,2,1,1,23245.46,0
100402,650,Spain,Male,33,4,0.0,3,1,1,194556.07,0
100403,654,Germany,Male,41,9,66040.87,1,0,1,147471.66,0
100404,607,Spain,Female,51,0,45981.22,1,1,0,74790.9,0
100405,709,France,Male,34,10,16092.73,2,0,1,73958.99,0
100406,549,France,Female,20,9,65126.54,2,1,1,97980.37,0
100407,636,Germany,Female,45,10,106473.35,4,1,0,130855.29,0
100408,661,France,Male,33,3,75424.11,1,0,1,42079.02,0
100409,699,France,Male,27,10,95032.83,1,1,0,49952.02,0
100410,718,Germany,Male,33,1,188431.28,2,1,1,173995.4,0
100411,543,France,Male,37,3,54741.51,1,1,0,62407.16,0
100412,504,Germany,Female,33,0,93257.62,2,1,1,85336.07,0
100413,771,Germany,Male,18,1,44428.77,1,1,0,176185.29,0
100414,682,France,Male,48,7,23525.7,1,0,1,137682.35,1
100415,579,France,Male,52,5,39735.73,1,0,0,78216.7,0
100416,797,Spain,Female,46,1,46316.97,1,1,1,141484.42,0
100417,661,France,Male,28,5,98287.5,2,1,1,18641.39,0
100418,762,France,Male,37,9,221642.7,2,1,0,151093.89,0
100419,656,Spain,Female,39,8,31605.31,1,1,1,105097.97,0
100420,846,France,Female,45,6,50169.23,2,1,1,165438.7,0
